tiempo,valor
1777525753.3602011,54.90492036424038
1777525753.6104274,72.05013965040249
1777525753.8608098,28.13964147004454
1777525754.1114142,91.5759707540708
1777525754.3624275,44.84927423294557
1777525754.6131034,19.8204095991687
1777525754.86356,85.62334884625557
1777525755.114239,92.05099595875811
1777525755.364852,54.77965955124573
1777525755.6152074,1.1550421289918344
1777525755.8659034,87.55065984223928
1777525756.1166065,37.73284879126992
1777525756.3668594,3.881513351073873
1777525756.6170757,51.84657148783799
1777525756.8680217,80.8130641497736
1777525757.1189463,96.71053990208446
1777525757.3695946,98.17451423481322
1777525757.620637,57.84752345649006
1777525757.8711705,56.07087012495738
1777525758.1220849,52.17221149844535
1777525758.3726633,78.21226342422132
1777525758.6231222,52.87667197393758
1777525758.8740451,1.0433517599093056
1777525759.1243265,27.945645638466853
1777525759.3746579,47.83369137126663
1777525759.6251614,62.68040570030436
1777525759.8755054,54.21110358639544
1777525760.12612,87.97356220036464
1777525760.3769133,26.969699847891594
1777525760.627165,64.89418664172149
1777525760.8780563,28.577964518860377
1777525761.1286957,85.934394106793
1777525761.3964243,79.60933777296478
1777525761.6474817,59.545627900139365
1777525761.8976865,12.921591960174583
1777525762.1485999,6.79846616199794
1777525762.3988657,37.841092308478274
1777525762.6492069,29.224915303177468
1777525762.9000497,27.43317078090971
1777525763.1505625,93.58826571642538
